data,valor,indicador,data_coleta
01/01/2025,0.16,IPCA,2026-09-19
01/02/2025,1.31,IPCA,2026-09-19
01/03/2025,0.56,IPCA,2026-09-19
01/04/2025,0.43,IPCA,2026-09-19
01/05/2025,0.26,IPCA,2026-09-19
01/06/2025,0.24,IPCA,2026-09-19
01/07/2025,0.26,IPCA,2026-09-19
01/08/2025,-0.11,IPCA,2026-09-19
01/09/2025,0.48,IPCA,2026-09-19
01/10/2025,0.09,IPCA,2026-09-19
01/11/2025,0.18,IPCA,2026-09-19
01/12/2025,0.33,IPCA,2026-09-19
01/01/2026,0.33,IPCA,2026-09-19
01/02/2026,0.7,IPCA,2026-09-19
01/03/2026,0.88,IPCA,2026-09-19
01/04/2026,0.67,IPCA,2026-09-19
01/05/2026,0.58,IPCA,2026-09-19
01/06/2026,0.16,IPCA,2026-09-19
01/07/2026,0.07,IPCA,2026-09-19
01/08/2026,-0.32,IPCA,2026-09-19
16/10/2026,13.75,SELIC,2026-09-19
17/10/2026,13.75,SELIC,2026-09-19
18/10/2026,13.75,SELIC,2026-09-19
19/10/2026,13.75,SELIC,2026-09-19
20/10/2026,13.75,SELIC,2026-09-19
21/10/2026,13.75,SELIC,2026-09-19
22/10/2026,13.75,SELIC,2026-09-19
23/10/2026,13.75,SELIC,2026-09-19
24/10/2026,13.75,SELIC,2026-09-19
25/10/2026,13.75,SELIC,2026-09-19
26/10/2026,13.75,SELIC,2026-09-19
27/10/2026,13.75,SELIC,2026-09-19
28/10/2026,13.75,SELIC,2026-09-19
29/10/2026,13.75,SELIC,2026-09-19
30/10/2026,13.75,SELIC,2026-09-19
31/10/2026,13.75,SELIC,2026-09-19
01/11/2026,13.75,SELIC,2026-09-19
02/11/2026,13.75,SELIC,2026-09-19
03/11/2026,13.75,SELIC,2026-09-19
04/11/2026,13.75,SELIC,2026-09-19
01/01/2025,957098.8,PIB,2026-09-19
01/02/2025,995309.7,PIB,2026-09-19
01/03/2025,1072314.4,PIB,2026-09-19
01/04/2025,1087642.9,PIB,2026-09-19
01/05/2025,1061956.0,PIB,2026-09-19
01/06/2025,1050746.1,PIB,2026-09-19
01/07/2025,1094281.9,PIB,2026-09-19
01/08/2025,1065938.0,PIB,2026-09-19
01/09/2025,1075487.7,PIB,2026-09-19
01/10/2025,1109215.3,PIB,2026-09-19
01/11/2025,1084265.8,PIB,2026-09-19
01/12/2025,1084309.1,PIB,2026-09-19
01/01/2026,1026679.8,PIB,2026-09-19
01/02/2026,1050684.3,PIB,2026-09-19
01/03/2026,1173614.7,PIB,2026-09-19
01/04/2026,1160675.4,PIB,2026-09-19
01/05/2026,1131023.2,PIB,2026-09-19
01/06/2026,1134029.1,PIB,2026-09-19
01/07/2026,1162537.4,PIB,2026-09-19
01/08/2026,1149930.8,PIB,2026-09-19
21/08/2026,5.1625,DÓLAR,2026-09-19
24/08/2026,5.1512,DÓLAR,2026-09-19
25/08/2026,5.149,DÓLAR,2026-09-19
26/08/2026,5.1604,DÓLAR,2026-09-19
27/08/2026,5.1642,DÓLAR,2026-09-19
28/08/2026,5.2005,DÓLAR,2026-09-19
31/08/2026,5.1816,DÓLAR,2026-09-19
01/09/2026,5.157,DÓLAR,2026-09-19
02/09/2026,5.1273,DÓLAR,2026-09-19
03/09/2026,5.0962,DÓLAR,2026-09-19
04/09/2026,5.1253,DÓLAR,2026-09-19
08/09/2026,5.0856,DÓLAR,2026-09-19
09/09/2026,5.0979,DÓLAR,2026-09-19
10/09/2026,5.1149,DÓLAR,2026-09-19
11/09/2026,5.0918,DÓLAR,2026-09-19
14/09/2026,5.1696,DÓLAR,2026-09-19
15/09/2026,5.149,DÓLAR,2026-09-19
16/09/2026,5.1527,DÓLAR,2026-09-19
17/09/2026,5.1521,DÓLAR,2026-09-19
18/09/2026,5.1575,DÓLAR,2026-09-19
01/12/2024,61.0,COMMODITIES,2026-09-19
01/01/2025,26.8,COMMODITIES,2026-09-19
01/02/2025,25.0,COMMODITIES,2026-09-19
01/03/2025,33.3,COMMODITIES,2026-09-19
01/04/2025,49.0,COMMODITIES,2026-09-19
01/05/2025,30.6,COMMODITIES,2026-09-19
01/06/2025,64.6,COMMODITIES,2026-09-19
01/07/2025,48.7,COMMODITIES,2026-09-19
01/08/2025,35.2,COMMODITIES,2026-09-19
01/09/2025,54.7,COMMODITIES,2026-09-19
01/10/2025,105.6,COMMODITIES,2026-09-19
01/11/2025,53.8,COMMODITIES,2026-09-19
01/12/2025,59.1,COMMODITIES,2026-09-19
01/01/2026,34.7,COMMODITIES,2026-09-19
01/02/2026,31.1,COMMODITIES,2026-09-19
01/03/2026,37.5,COMMODITIES,2026-09-19
01/04/2026,32.3,COMMODITIES,2026-09-19
01/05/2026,45.9,COMMODITIES,2026-09-19
01/06/2026,53.5,COMMODITIES,2026-09-19
01/07/2026,30.0,COMMODITIES,2026-09-19
01/01/2025,0.27,IGP-M,2026-09-19
01/02/2025,1.06,IGP-M,2026-09-19
01/03/2025,-0.34,IGP-M,2026-09-19
01/04/2025,0.24,IGP-M,2026-09-19
01/05/2025,-0.49,IGP-M,2026-09-19
01/06/2025,-1.67,IGP-M,2026-09-19
01/07/2025,-0.77,IGP-M,2026-09-19
01/08/2025,0.36,IGP-M,2026-09-19
01/09/2025,0.42,IGP-M,2026-09-19
01/10/2025,-0.36,IGP-M,2026-09-19
01/11/2025,0.27,IGP-M,2026-09-19
01/12/2025,-0.01,IGP-M,2026-09-19
01/01/2026,0.41,IGP-M,2026-09-19
01/02/2026,-0.73,IGP-M,2026-09-19
01/03/2026,0.52,IGP-M,2026-09-19
01/04/2026,2.73,IGP-M,2026-09-19
01/05/2026,0.84,IGP-M,2026-09-19
01/06/2026,-0.5,IGP-M,2026-09-19
01/07/2026,-1.16,IGP-M,2026-09-19
01/08/2026,-0.22,IGP-M,2026-09-19
