titulo,link,fonte,data_coleta
Diretor do CBIE: Mercado não vê guerra no Oriente Médio acabando em breve,https://www.cnnbrasil.com.br/economia/money/macroeconomia/diretor-do-cbie-mercado-nao-ve-guerra-no-oriente-medio-acabando-em-breve/,CNN Brasil,2026-09-19 19:18:06
Mercado de fertilizantes enfrenta forte pressão no início da safra,https://www.cnnbrasil.com.br/agro/mercado-de-fertilizantes-enfrenta-forte-pressao-no-inicio-da-safra/,CNN Brasil,2026-09-19 19:18:06
IA pressiona e reprecifica ações de empresas de software,https://www.cnnbrasil.com.br/economia/money/mercado/ia-pressiona-e-reprecifica-acoes-de-empresas-de-software/,CNN Brasil,2026-09-19 19:18:06
Petróleo ainda é termômetro da economia? Entenda influência,https://stories.cnnbrasil.com.br/economia/petroleo-ainda-e-termometro-da-economia-entenda-influencia/,CNN Brasil,2026-09-19 19:18:06
Macroeconomia,https://www.cnnbrasil.com.br/economia/money/macroeconomia/,CNN Brasil,2026-09-19 19:18:06
"""Pacote de bondades"" de Lula injeta R$ 270 bi na economia em ano eleitoral",https://www.cnnbrasil.com.br/economia/money/macroeconomia/pacote-de-bondades-de-lula-injeta-r-270-bi-na-economia-em-ano-eleitoral/,CNN Brasil,2026-09-19 19:18:06
Investimentos,https://www.cnnbrasil.com.br/tudo-sobre/investimentos/,CNN Brasil,2026-09-19 19:18:06
Bolsa de Valores,https://www.cnnbrasil.com.br/tudo-sobre/bolsa-de-valores/,CNN Brasil,2026-09-19 19:18:06
Mercado Pago,https://especiaispublicitarios.g1.globo.com/vqt-mercado-pago/,G1 Economia,2026-09-19 19:18:07
Mercado Imobiliário,https://g1.globo.com/go/goias/mercado-imobiliario/,G1 Economia,2026-09-19 19:18:07
Juros Futuros,https://www.infomoney.com.br/ferramentas/juros-futuros-di/,InfoMoney Mercados,2026-09-19 19:18:08
Indicadores de Inflação,https://www.infomoney.com.br/ferramentas/inflacao/,InfoMoney Mercados,2026-09-19 19:18:08
Simulador de Investimentos,https://www.infomoney.com.br/ferramentas/simulador-xp/,InfoMoney Mercados,2026-09-19 19:18:08
O que muda com BDRs no Ibovespa? Expectativa é por maior diversidade e novos fluxos,https://www.infomoney.com.br/mercados/o-que-muda-com-bdrs-no-ibovespa-expectativa-e-por-maior-diversidade-e-novos-fluxos/,InfoMoney Mercados,2026-09-19 19:18:08
